S,A_unstable,A_stable,M_unstable,M_stable,A_stabilised,A_destabilised,A_infeasible,A_feasible,M_infeasible,M_feasible,A_made_feasible,A_made_infeasible,A_rho,M_rho,rho_diff,rho_abs,complex_A,complex_M,A_eig,M_eig,LR_A,UR_A,LR_M,UR_M
41,100000,0,100000,0,0,0,100000,0,100000,0,0,0,-4.16171628712759E-05,5.3233248827887E-05,9.48504116991629E-05,-0.000606878344701,3.41089689531613,4.25283941661392,1.81048862160562,1.60618314585565,0.63005586379623,4.49630990376581,0.355556424443993,5.14386209728231
42,100000,0,100000,0,0,0,100000,0,100000,0,0,0,1.45952206075668E-05,-7.13228248675803E-05,-8.59180454751469E-05,-0.000430257646928,3.45256002818217,4.30487169264423,1.85425657644405,1.65403772472877,0.576824247376465,4.44018138158005,0.344948877654257,4.84024918348395
43,100000,0,100000,0,0,0,100000,0,100000,0,0,0,-4.24290311504218E-05,-6.0629647800519E-05,-1.82006166500972E-05,-0.00066466775472,3.49612527043005,4.35893504039463,1.89956568168987,1.6996447594065,0.727414171055729,4.25509875704521,0.329613630316411,5.31749808591744
44,100000,0,100000,0,0,0,100000,0,100000,0,0,0,1.54526569041278E-05,1.51795251144028E-05,-2.73131789724832E-07,-0.000442609735901,3.53892197133396,4.41103641203622,1.94162265171752,1.74537983720681,0.682255378664733,4.58914057594901,0.353265744594026,4.87430164826972
45,100000,0,100000,0,0,0,100000,0,100000,0,0,0,-0.000196906439156,-0.000111576477396,8.53299617604809E-05,-0.000396005260236,3.57927856936412,4.46259668483821,1.98512663350846,1.79370285617759,0.700967055162819,4.76861008017689,0.452762018111151,5.25958933699386
46,100000,0,100000,0,0,0,100000,0,100000,0,0,0,0.000118477626104,0.000129840405036,1.13627789322548E-05,-0.000458709665753,3.62005188478589,4.51185649071446,2.02608314400323,1.84041881917031,0.733115722220352,4.55736134005138,0.405196749270372,5.43640310499197
47,100000,0,100000,0,0,0,100000,0,100000,0,0,0,-0.000135544938308,2.49339166222643E-05,0.00016047885493,-0.000398735489497,3.65947811286366,4.56210039770108,2.06631750834797,1.88361823830329,0.740658621587592,4.97002644538241,0.437704147754555,5.62983216196536
48,100000,0,100000,0,0,0,100000,0,100000,0,0,0,3.89231850809429E-05,9.45827640218838E-05,5.56595789409409E-05,-0.000221397170818,3.70251466999895,4.61392658259637,2.11003375796733,1.9299231169385,0.780352391850754,5.01536703759434,0.435494361780055,5.55809421454338
49,100000,0,100000,0,0,0,100000,0,100000,0,0,0,-0.000139190729531,-4.31937083888994E-05,9.59970211420562E-05,-0.000358353333286,3.74058371930995,4.66178370412211,2.14989478094355,1.97230738892047,0.878380199542264,4.80065432572589,0.467525302163541,5.05218073171855
50,100000,0,100000,0,0,0,100000,0,100000,0,0,0,3.64777165865307E-05,0.000141490805566,0.000105013088979,-0.000331819395519,3.77991774251883,4.71000415889488,2.19028809579455,2.0184126994787,0.844997838515682,4.72603644630664,0.44620021487732,5.20227554710767
